geneko	mediaws	media	addtlCpd	growth
fig|208964.1.peg.1255	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1256	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1257	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1258	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1259	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.126	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1260	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1261	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1262	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1263	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1264	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1265	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1266	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1267	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1268	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1269	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.127	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1270	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1271	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1272	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1273	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1274	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1275	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1276	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1278	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1279	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.128	KBaseMedia	ArgonneLBMedia		0
fig|208964.1.peg.1280	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1281	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1282	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1283	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1284	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1285	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1286	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1287	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1288	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1289	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.129	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1290	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1291	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1292	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1293	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1294	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1295	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1296	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1297	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1298	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1299	KBaseMedia	ArgonneLBMedia		0
fig|208964.1.peg.130	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1300	KBaseMedia	ArgonneLBMedia		0
fig|208964.1.peg.1301	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1302	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1303	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1304	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1305	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1306	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1307	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1308	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1309	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.131	KBaseMedia	ArgonneLBMedia		0
fig|208964.1.peg.1310	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1311	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1312	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1313	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1314	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1315	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1316	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1317	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1318	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1319	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.132	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1320	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1321	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1322	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1323	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1324	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1325	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1326	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1327	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1328	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1329	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.133	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1330	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1331	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1332	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1333	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1334	KBaseMedia	ArgonneLBMedia		0
fig|208964.1.peg.1335	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1336	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1337	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1338	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1339	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.134	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1340	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1341	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1342	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1343	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1344	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1345	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1346	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1347	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1348	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1349	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.135	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1350	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1351	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1352	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1353	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1354	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1355	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1356	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1357	KBaseMedia	ArgonneLBMedia		1
